10.3921 5.0878 5.3043 53.6725 44.7533 10.3921 7527.69 11.576 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
18.8863 14.0669 4.8194 132.133 32.2218 18.8863 177.147 442.04 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
10.816 5.4691 5.3469 57.6005 46.26 10.816 8916.9 31.386 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
16.359 12.1587 4.2003 116.458 24.4979 16.359 10934.6 3182.9 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
8.3572 4.59 3.7672 53.0046 24.9424 8.3572 3762.72 167.88 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
15.5801 8.2792 7.3009 80.965 77.8141 15.5801 4.3286 7599.7 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
22.9118 15.1313 7.7805 88.3333 66.4293 22.9118 11778.3 897.25 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
16.6019 8.9107 7.6912 97.6167 93.0653 16.6019 2306.86 550.33 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
14.4082 11.4074 3.0008 89.5234 24.1394 14.4082 3858.58 467.11 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
13.4084 9.4299 3.9785 90.8778 23.9968 13.4084 4925.7 309.19 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
10.5683 5.7231 4.8452 43.7221 39.701 10.5683 2538.94 239.49 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
10.1885 4.8669 5.3216 56.7115 47.5224 10.1885 9820.62 12.485 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
21.3714 11.0007 10.3707 66.7664 50.7192 21.3714 10372.4 5791.9 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
14.7403 9.8682 4.8721 79.1837 39.307 14.7403 1335.92 399.61 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
19.9326 14.1422 5.7904 93.2736 51.0635 19.9326 655.367 554.36 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
15.2934 11.0295 4.2639 99.78 27.6995 15.2934 5145.19 311.54 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
8.1303 4.2955 3.8348 37.9662 35.0118 8.1303 4593.58 13.12 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
13.3248 8.338 4.9868 60.4711 47.446 13.3248 9167.23 1462.5 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
10.8705 5.1714 5.6991 56.4384 43.1733 10.8705 523.093 221.08 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
9.0283 4.935 4.0933 42.0111 36.686 9.0283 5799.96 12.443 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
7.0847 3.6263 3.4584 33.2448 29.004 7.0847 556.46 164.85 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
11.0107 5.4695 5.5412 58.5074 48.7327 11.0107 8746.94 13.063 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
7.1442 3.9099 3.2343 34.3539 31.3234 7.1442 13282 14.843 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
14.3957 7.91 6.4857 71.3133 56.5852 14.3957 3244.8 13.099 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
14.277 7.1523 7.1247 86.7947 86.71 14.277 1320.64 436.16 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
20.1935 14.1119 6.0816 140.836 40.1036 20.1935 3143.44 429.2 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
20.5006 11.1768 9.3238 69.0985 50.3878 20.5006 2307.79 8530.4 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
11.2006 7.0728 4.1278 42.679 36.4181 11.2006 652.011 573.3 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
8.4979 4.4354 4.0625 38.9858 36.8635 8.4979 2141.33 34.322 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
8.4221 3.8032 4.6189 43.8968 32.9042 8.4221 839.755 181.65 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
8.9125 3.4928 5.4197 44.2539 39.587 8.9125 6510.94 170.87 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
14.8746 8.2445 6.6301 72.3948 58.7547 14.8746 11857.6 19.213 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
8.9363 4.7253 4.211 41.4374 38.0316 8.9363 3943.22 12.423 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
16.8829 9.6635 7.2194 80.1659 64.2648 16.8829 3695.86 13.049 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
9.0638 4.8364 4.2274 39.991 38.1779 9.0638 11411.4 10.871 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
9.8796 6.3924 3.4872 40.2139 33.8408 9.8796 7.5229 218.5 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
7.5614 4.237 3.3244 49.6898 19.4303 7.5614 8628.85 217.21 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
9.6567 4.9807 4.676 49.5343 41.7016 9.6567 10772.9 11.828 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
12.4499 7.3304 5.1195 89.2801 62.1861 12.4499 16.0614 462.42 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
7.2965 4.0565 3.24 36.4361 27.1551 7.2965 2200.27 212.15 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
13.1438 8.2607 4.8831 73.122 37.7591 13.1438 6547.91 302.63 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
11.7342 7.0311 4.7031 43.1693 38.1374 11.7342 28.6069 746.93 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 
