0.03 13.0889 13.4915 0.0107893 3.11808e+12
0.09 43.989 12.6165 0.0124958 3.09499e+12
0.15 55.9079 11.8745 0.0143566 3.058e+12
0.21 63.2373 11.1715 0.0163756 3.01622e+12
0.27 82.9825 10.5665 0.0185559 2.97268e+12
0.33 79.9876 10.0115 0.0208997 2.92748e+12
0.39 95.6919 9.4745 0.0234086 2.88061e+12
0.45 102.797 8.984 0.0260831 2.83196e+12
0.51 124.337 8.53683 0.0289224 2.78155e+12
0.57 132.704 8.13133 0.031924 2.72947e+12
0.63 142.258 7.73975 0.035084 2.67567e+12
0.69 159.145 7.37008 0.0383963 2.62008e+12
0.75 186.507 7.03667 0.0418526 2.56275e+12
0.81 197.937 6.72967 0.0454419 2.50377e+12
0.87 220.652 6.44017 0.0491503 2.44332e+12
0.93 232.87 6.16783 0.0529609 2.38159e+12
0.99 273.514 5.918 0.0568533 2.3187e+12
1.05 246.374 5.67125 0.0608039 2.25476e+12
1.11 302.132 5.4325 0.0647853 2.18992e+12
1.17 365.387 5.23425 0.0687668 2.12431e+12
1.23 338.006 5.0456 0.0727145 2.05807e+12
1.29 362.719 4.8551 0.0765916 1.99141e+12
1.35 396.678 4.679 0.0803594 1.92468e+12
1.41 407.342 4.51367 0.0839775 1.85823e+12
1.47 471.826 4.36267 0.0874051 1.79223e+12
1.53 409.684 4.2135 0.0906022 1.72679e+12
1.59 480.477 4.06657 0.0935305 1.66182e+12
1.65 536.848 3.93929 0.0961548 1.59729e+12
1.71 469.726 3.81171 0.0984441 1.53335e+12
1.77 551.196 3.68738 0.100373 1.47033e+12
1.83 546.031 3.57538 0.101922 1.40888e+12
1.89 554.164 3.4673 0.103079 1.34944e+12
1.95 578.377 3.366 0.103839 1.29212e+12
2.01 574.109 3.27 0.104203 1.2368e+12
2.07 568.425 3.1758 0.10418 1.18299e+12
2.13 643.112 3.08864 0.103787 1.13043e+12
2.19 630.318 3.00818 0.103043 1.0792e+12
2.25 632.347 2.92936 0.101975 1.02944e+12
2.31 611.66 2.85198 0.10061 9.81309e+11
2.37 591.825 2.77483 0.0989812 9.34882e+11
2.43 607.506 2.70024 0.0971205 8.90169e+11
2.49 672.789 2.63286 0.0950612 8.47192e+11
2.55 644.821 2.57029 0.0928359 8.0597e+11
2.61 623.156 2.508 0.0904759 7.66478e+11
2.67 596.115 2.446 0.0880109 7.28681e+11
2.73 612.961 2.38662 0.0854686 6.92804e+11
2.79 627.971 2.33247 0.0828738 6.59227e+11
2.85 583.803 2.28094 0.0802493 6.28006e+11
2.91 549.13 2.22968 0.0776148 5.98963e+11
2.97 522.025 2.17882 0.0749878 5.71722e+11
3.03 554.584 2.13062 0.072383 5.45815e+11
3.09 541.29 2.08544 0.0698132 5.21061e+11
3.15 518.046 2.04078 0.0672886 4.97402e+11
3.21 494.179 1.99611 0.0648179 4.74796e+11
3.27 498.257 1.9526 0.0624077 4.53209e+11
3.33 533.605 1.91257 0.0600633 4.32596e+11
3.39 510.768 1.87486 0.0577886 4.12902e+11
3.45 487.134 1.83714 0.0555862 3.94085e+11
3.51 513.156 1.80117 0.0534579 3.76114e+11
3.57 499.655 1.76727 0.0514046 3.58948e+11
3.63 482.517 1.73373 0.0494264 3.42474e+11
3.69 519.858 1.70049 0.0475228 3.25824e+11
3.75 607.177 1.66913 0.045693 3.0822e+11
3.81 636.387 1.63933 0.0439357 2.8969e+11
3.87 648.281 1.60953 0.0422494 2.70549e+11
3.93 580.547 1.57973 0.040632 2.52239e+11
